purchase_key,customer_id,item_key,location_key,season,size,color,purchase_amount,review_rating,review_rating_imputed,received_discount,shipping_type,payment_method,purchase_frequency_days,purchases_per_year,est_annual_value
38,38,12,14,Summer,S,Cyan,45,2.8,False,True,Store Pickup,PayPal,7,52.14,2346.3
39,39,10,9,Winter,M,Red,37,3.7,True,True,2-Day Shipping,Venmo,90,4.06,150.22
40,40,13,3,Summer,S,Turquoise,60,4.2,False,True,Express,Credit Card,30,12.17,730.2
41,41,4,18,Winter,L,Beige,76,4.6,False,True,Next Day Air,Debit Card,90,4.06,308.56
42,42,7,2,Spring,M,Orange,39,4.5,False,True,Standard,Venmo,365,1.0,39.0
43,43,24,42,Spring,M,Beige,100,4.1,False,True,Free Shipping,PayPal,365,1.0,100.0
44,44,7,35,Fall,L,Lavender,69,3.7,False,True,Store Pickup,PayPal,14,26.07,1798.83
45,45,5,17,Summer,S,Silver,53,4.6,False,True,Free Shipping,PayPal,7,52.14,2763.42
46,46,17,42,Fall,XL,Indigo,21,2.9,False,True,2-Day Shipping,PayPal,365,1.0,21.0
47,47,14,5,Summer,L,White,43,2.9,False,True,Store Pickup,Cash,90,4.06,174.58
48,48,6,26,Winter,M,Charcoal,54,4.5,False,True,Free Shipping,Cash,7,52.14,2815.56
49,49,14,28,Summer,M,Orange,55,2.7,False,True,Store Pickup,Cash,30,12.17,669.35
50,50,11,30,Spring,S,Indigo,30,4.6,False,True,Next Day Air,Debit Card,14,26.07,782.1
51,51,9,20,Spring,M,Red,28,3.7,True,True,Store Pickup,Debit Card,14,26.07,729.96
52,52,16,45,Winter,XL,Gray,59,4.7,False,True,2-Day Shipping,Credit Card,90,4.06,239.54
53,53,19,2,Summer,M,Green,20,2.6,False,True,Free Shipping,Credit Card,7,52.14,1042.8
54,54,16,24,Winter,S,Peach,24,3.9,False,True,Next Day Air,Credit Card,7,52.14,1251.36
55,55,24,31,Summer,M,Brown,94,4.2,False,True,Next Day Air,Debit Card,14,26.07,2450.58
56,56,25,40,Winter,M,Lavender,28,3.0,False,True,2-Day Shipping,Credit Card,365,1.0,28.0
57,57,1,24,Summer,XL,Brown,73,4.7,False,True,Store Pickup,Credit Card,7,52.14,3806.22
58,58,24,48,Summer,M,White,64,4.4,False,True,Store Pickup,Debit Card,14,26.07,1668.48
59,59,11,25,Summer,M,Charcoal,54,4.2,False,True,Free Shipping,Venmo,30,12.17,657.18
60,60,2,18,Spring,L,Yellow,79,4.6,False,True,Standard,Debit Card,7,52.14,4119.06
61,61,18,12,Summer,L,Brown,37,4.0,False,True,Express,Cash,7,52.14,1929.18
62,62,7,43,Winter,M,Orange,68,4.7,False,True,Store Pickup,Credit Card,90,4.06,276.08
63,63,23,24,Spring,S,Magenta,21,3.8,False,True,Free Shipping,Credit Card,14,26.07,547.47
64,64,8,3,Winter,L,Lavender,79,2.7,False,True,2-Day Shipping,Credit Card,7,52.14,4119.06
65,65,20,1,Fall,S,Green,83,4.8,False,True,Standard,Debit Card,14,26.07,2163.81
66,66,1,30,Spring,M,Purple,36,4.8,False,True,2-Day Shipping,Venmo,90,4.06,146.16
67,67,9,38,Winter,S,Magenta,94,4.7,False,True,2-Day Shipping,Venmo,90,4.06,381.64
68,68,24,7,Winter,L,Gray,33,4.4,False,True,Store Pickup,Debit Card,30,12.17,401.61
69,69,4,44,Summer,L,Silver,46,3.9,False,True,Next Day Air,Cash,90,4.06,186.76
70,70,2,42,Summer,S,Cyan,70,4.4,False,True,Express,Cash,7,52.14,3649.8
71,71,2,1,Fall,M,Magenta,29,4.2,False,True,Express,Debit Card,90,4.06,117.74
72,72,10,46,Summer,L,Gold,48,2.9,False,True,Express,Bank Transfer,365,1.0,48.0
73,73,10,10,Winter,M,Olive,26,2.9,False,True,Store Pickup,Bank Transfer,90,4.06,105.56
74,74,13,11,Spring,M,Teal,85,2.7,False,True,Free Shipping,Bank Transfer,14,26.07,2215.95
75,75,3,14,Spring,L,Violet,58,4.5,False,True,Express,Cash,30,12.17,705.86
76,76,7,44,Summer,M,Blue,85,2.7,False,True,Free Shipping,Credit Card,365,1.0,85.0
77,77,5,8,Summer,S,Teal,43,4.2,False,True,Free Shipping,Venmo,30,12.17,523.31
78,78,10,8,Summer,L,Gold,53,3.3,False,True,Next Day Air,Debit Card,14,26.07,1381.71
79,79,16,27,Spring,M,Maroon,91,4.7,False,True,Free Shipping,Venmo,14,26.07,2372.37
80,80,25,15,Winter,M,Olive,96,2.6,False,True,2-Day Shipping,Bank Transfer,90,4.06,389.76
81,81,21,32,Summer,XL,Blue,72,3.8,True,True,Store Pickup,Credit Card,90,4.06,292.32
82,82,22,46,Summer,L,Maroon,96,2.6,False,True,Express,Credit Card,90,4.06,389.76
83,83,13,10,Spring,S,Olive,28,4.0,False,True,2-Day Shipping,Credit Card,90,4.06,113.68
84,84,10,43,Summer,M,Turquoise,40,4.1,False,True,Standard,Bank Transfer,7,52.14,2085.6
85,85,24,3,Spring,S,Peach,32,4.4,False,True,Standard,Bank Transfer,90,4.06,129.92
86,86,8,31,Winter,M,Charcoal,95,4.5,False,True,Next Day Air,Debit Card,14,26.07,2476.65
87,87,11,28,Spring,L,Pink,41,3.7,False,True,2-Day Shipping,Cash,14,26.07,1068.87
88,88,22,35,Fall,M,Green,53,3.7,False,True,2-Day Shipping,Debit Card,14,26.07,1381.71
89,89,19,50,Fall,M,Orange,47,3.5,False,True,Free Shipping,Credit Card,30,12.17,571.99
90,90,25,5,Fall,XL,Pink,83,3.6,False,True,Next Day Air,Cash,90,4.06,336.98
91,91,5,40,Summer,L,Violet,48,2.9,False,True,Express,Credit Card,30,12.17,584.16
92,92,7,40,Winter,S,Green,99,4.6,False,True,Standard,Credit Card,90,4.06,401.94
93,93,25,43,Winter,M,Olive,87,4.4,False,True,2-Day Shipping,Venmo,90,4.06,353.22
94,94,18,9,Fall,M,Purple,62,4.5,False,True,Standard,Credit Card,7,52.14,3232.68
95,95,16,28,Spring,S,Silver,76,4.6,False,True,Free Shipping,Credit Card,7,52.14,3962.64
96,96,23,25,Fall,L,Pink,100,3.8,False,True,Free Shipping,PayPal,30,12.17,1217.0
97,97,3,8,Spring,S,Gold,73,3.8,True,True,Express,Venmo,90,4.06,296.38
98,98,22,46,Winter,M,Teal,92,4.8,False,True,Store Pickup,Cash,365,1.0,92.0
99,99,12,32,Spring,XL,Teal,67,2.6,False,True,Next Day Air,Bank Transfer,365,1.0,67.0
100,100,11,25,Summer,XL,Indigo,40,3.7,False,True,Express,Debit Card,90,4.06,162.4
101,101,8,41,Fall,M,Maroon,98,2.7,False,True,Express,Cash,14,26.07,2554.86
102,102,24,34,Spring,XL,White,85,4.6,False,True,Express,Credit Card,14,26.07,2215.95
103,103,17,36,Winter,L,Violet,67,4.8,False,True,Next Day Air,Credit Card,90,4.06,272.02
104,104,20,48,Winter,L,Red,89,4.0,False,True,Next Day Air,Venmo,14,26.07,2320.23
105,105,8,29,Spring,L,Pink,24,4.4,False,True,2-Day Shipping,PayPal,30,12.17,292.08
106,106,1,32,Fall,M,Charcoal,96,3.6,False,True,Next Day Air,Bank Transfer,365,1.0,96.0
107,107,25,23,Summer,L,White,35,3.7,False,True,Standard,Credit Card,30,12.17,425.95
108,108,23,20,Winter,L,Olive,67,3.1,False,True,Next Day Air,PayPal,14,26.07,1746.69
109,109,17,26,Spring,L,Purple,79,3.4,False,True,Next Day Air,Bank Transfer,14,26.07,2059.53
110,110,19,1,Spring,M,Violet,85,2.6,False,True,Next Day Air,Bank Transfer,14,26.07,2215.95
111,111,1,32,Summer,M,Black,26,4.0,False,True,Standard,Venmo,14,26.07,677.82
112,112,2,21,Summer,L,Purple,75,5.0,False,True,Free Shipping,Credit Card,365,1.0,75.0
113,113,3,9,Spring,M,Red,65,4.3,False,True,Free Shipping,PayPal,14,26.07,1694.55
114,114,5,30,Winter,L,Maroon,54,3.1,False,True,Next Day Air,PayPal,90,4.06,219.24
115,115,24,21,Summer,S,Blue,95,3.7,False,True,Store Pickup,Cash,7,52.14,4953.3
116,116,16,50,Spring,M,Gray,94,3.8,False,True,Standard,Debit Card,90,4.06,381.64
117,117,22,46,Spring,S,Blue,86,3.4,False,True,Free Shipping,Venmo,365,1.0,86.0
118,118,21,41,Summer,L,Yellow,32,4.6,False,True,Express,Cash,14,26.07,834.24
119,119,18,17,Fall,L,Orange,45,4.8,False,True,2-Day Shipping,Cash,14,26.07,1173.15
120,120,24,50,Fall,M,Orange,76,4.3,False,True,Express,Cash,365,1.0,76.0
121,121,5,48,Summer,L,Red,84,4.0,False,True,Express,Bank Transfer,365,1.0,84.0
122,122,15,46,Winter,M,Olive,72,4.2,False,True,Standard,Cash,14,26.07,1877.04
123,123,1,47,Spring,L,Brown,40,4.8,False,True,2-Day Shipping,Cash,14,26.07,1042.8
124,124,18,18,Fall,L,Brown,89,3.1,False,True,Free Shipping,Cash,7,52.14,4640.46
125,125,18,28,Spring,M,Gray,86,3.1,False,True,Next Day Air,PayPal,365,1.0,86.0
126,126,15,5,Winter,M,Indigo,54,3.6,False,True,Next Day Air,Venmo,90,4.06,219.24
127,127,15,24,Spring,L,Pink,36,3.9,False,True,Store Pickup,Cash,90,4.06,146.16
128,128,18,24,Winter,M,Gray,89,4.8,False,True,Next Day Air,Credit Card,7,52.14,4640.46
129,129,7,5,Spring,M,Gold,32,4.7,False,True,Standard,Credit Card,14,26.07,834.24
130,130,10,38,Summer,XL,Olive,67,4.2,False,True,2-Day Shipping,PayPal,14,26.07,1746.69
131,131,7,17,Fall,L,Violet,39,3.7,False,True,Next Day Air,PayPal,14,26.07,1016.73
132,132,16,19,Summer,L,Indigo,29,3.9,False,True,Standard,Credit Card,7,52.14,1512.06
133,133,1,31,Fall,M,Orange,58,4.7,False,True,2-Day Shipping,PayPal,7,52.14,3024.12
134,134,18,26,Winter,M,Violet,65,2.5,False,True,Next Day Air,Venmo,365,1.0,65.0
135,135,5,43,Fall,L,Gray,94,4.9,False,True,Store Pickup,Cash,30,12.17,1143.98
136,136,21,16,Fall,M,Purple,81,4.1,False,True,Express,PayPal,90,4.06,328.86
137,137,9,40,Winter,M,White,86,3.3,False,True,Free Shipping,Debit Card,90,4.06,349.16
138,138,23,6,Spring,M,Turquoise,43,4.7,False,True,Free Shipping,PayPal,7,52.14,2242.02
139,139,16,10,Winter,M,Maroon,29,4.4,False,True,Store Pickup,Bank Transfer,7,52.14,1512.06
140,140,24,9,Fall,M,White,95,3.8,False,True,Store Pickup,Venmo,365,1.0,95.0
141,141,14,33,Fall,L,Yellow,28,3.9,False,True,2-Day Shipping,Credit Card,7,52.14,1459.92
142,142,3,46,Fall,M,Turquoise,46,4.9,False,True,Free Shipping,PayPal,7,52.14,2398.44
143,143,25,27,Fall,L,Violet,58,3.1,False,True,Free Shipping,Credit Card,14,26.07,1512.06
144,144,24,25,Fall,M,Beige,48,2.7,False,True,Store Pickup,PayPal,90,4.06,194.88
145,145,22,30,Fall,M,Silver,43,3.2,False,True,Express,Cash,30,12.17,523.31
146,146,6,25,Fall,M,Teal,95,4.5,False,True,Standard,Debit Card,90,4.06,385.7
147,147,16,6,Fall,S,Black,30,4.0,False,True,Standard,Venmo,14,26.07,782.1
148,148,22,12,Summer,M,Purple,64,3.5,False,True,2-Day Shipping,Bank Transfer,14,26.07,1668.48
149,149,3,50,Fall,M,Gray,90,2.6,False,True,Store Pickup,Debit Card,365,1.0,90.0
150,150,13,8,Summer,M,White,76,3.2,False,True,Free Shipping,PayPal,30,12.17,924.92
151,151,20,5,Fall,L,Cyan,96,4.9,False,True,Standard,Debit Card,90,4.06,389.76
152,152,8,34,Fall,L,Turquoise,47,4.5,False,True,Next Day Air,Venmo,365,1.0,47.0
153,153,14,40,Summer,S,Brown,85,4.3,False,True,Express,Venmo,365,1.0,85.0
154,154,11,33,Winter,M,Maroon,55,3.2,False,True,Standard,Debit Card,365,1.0,55.0
155,155,10,36,Fall,M,Charcoal,98,3.6,False,True,Next Day Air,Venmo,90,4.06,397.88
156,156,17,19,Spring,S,Olive,77,4.3,False,True,Free Shipping,Bank Transfer,90,4.06,312.62
157,157,15,25,Fall,M,Lavender,26,4.0,False,True,Standard,Debit Card,365,1.0,26.0
158,158,5,45,Fall,S,Yellow,68,3.0,False,True,Next Day Air,Bank Transfer,14,26.07,1772.76
159,159,14,7,Fall,XL,Teal,73,4.1,False,True,Standard,Bank Transfer,30,12.17,888.41
160,160,3,29,Fall,M,Charcoal,27,3.8,False,True,Store Pickup,Bank Transfer,90,4.06,109.62
161,161,3,43,Summer,M,Orange,23,4.6,False,True,Free Shipping,Venmo,30,12.17,279.91
162,162,1,34,Fall,M,Olive,49,3.0,False,True,Express,Venmo,14,26.07,1277.43
163,163,8,5,Summer,M,Turquoise,74,3.0,False,True,Store Pickup,PayPal,14,26.07,1929.18
164,164,16,46,Summer,M,Purple,67,3.4,False,True,Standard,Debit Card,7,52.14,3493.38
165,165,4,8,Spring,S,Purple,65,2.6,False,True,Free Shipping,Credit Card,14,26.07,1694.55
166,166,4,17,Winter,S,Yellow,60,2.8,False,True,Store Pickup,Cash,30,12.17,730.2
167,167,23,8,Fall,XL,Indigo,31,4.0,False,True,Store Pickup,Cash,30,12.17,377.27
168,168,3,4,Fall,M,Green,27,4.0,False,True,Express,Credit Card,90,4.06,109.62
169,169,22,18,Summer,M,Magenta,80,3.0,False,True,Express,Cash,14,26.07,2085.6
170,170,25,28,Summer,S,Gold,30,3.3,False,True,Standard,PayPal,90,4.06,121.8
171,171,14,50,Fall,M,Maroon,25,2.6,False,True,Store Pickup,Venmo,14,26.07,651.75
172,172,15,46,Summer,M,Blue,35,3.6,False,True,Store Pickup,Credit Card,7,52.14,1824.9
173,173,6,27,Summer,M,Violet,67,3.9,False,True,Next Day Air,Credit Card,14,26.07,1746.69
174,174,5,11,Fall,M,Turquoise,46,3.4,False,True,Standard,Cash,365,1.0,46.0
175,175,22,45,Winter,L,Brown,35,3.5,False,True,Express,Venmo,365,1.0,35.0
176,176,24,36,Fall,L,Violet,86,2.8,False,True,Next Day Air,Bank Transfer,365,1.0,86.0
177,177,1,29,Spring,L,Black,81,2.7,False,True,Next Day Air,Credit Card,90,4.06,328.86
178,178,11,16,Fall,L,Magenta,42,3.7,False,True,Next Day Air,Bank Transfer,30,12.17,511.14
179,179,16,12,Fall,L,Lavender,43,4.3,False,True,2-Day Shipping,PayPal,90,4.06,174.58
180,180,20,13,Fall,M,Violet,31,4.9,False,True,Store Pickup,Bank Transfer,14,26.07,808.17
181,181,21,41,Fall,L,Green,81,3.3,False,True,Store Pickup,Debit Card,14,26.07,2111.67
182,182,13,21,Summer,M,Beige,61,4.7,False,True,Next Day Air,Bank Transfer,7,52.14,3180.54
183,183,3,1,Summer,XL,Purple,96,2.8,False,True,Store Pickup,Debit Card,365,1.0,96.0
184,184,16,35,Spring,XL,Beige,29,3.6,False,True,2-Day Shipping,Credit Card,7,52.14,1512.06
185,185,23,11,Spring,L,Cyan,33,3.0,False,True,Express,Cash,14,26.07,860.31
186,186,19,49,Summer,XL,Silver,32,4.5,False,True,Store Pickup,Bank Transfer,14,26.07,834.24
187,187,1,23,Summer,S,Lavender,56,2.9,False,True,Standard,Debit Card,365,1.0,56.0
188,188,22,10,Spring,S,Purple,94,3.3,False,True,Store Pickup,Bank Transfer,14,26.07,2450.58
189,189,11,4,Spring,M,Pink,53,3.1,False,True,Express,Bank Transfer,14,26.07,1381.71
190,190,9,48,Fall,M,Maroon,82,4.4,False,True,Next Day Air,Credit Card,7,52.14,4275.48
191,191,24,14,Fall,XL,Beige,70,3.0,False,True,Free Shipping,Venmo,90,4.06,284.2
192,192,5,44,Fall,M,Gray,76,3.9,False,True,Free Shipping,Cash,90,4.06,308.56
193,193,22,27,Summer,L,Turquoise,29,2.9,False,True,Express,PayPal,14,26.07,756.03
194,194,2,34,Fall,S,Silver,100,3.0,False,True,Standard,Venmo,365,1.0,100.0
195,195,1,25,Spring,M,Olive,94,3.1,False,True,Express,Debit Card,90,4.06,381.64
196,196,25,32,Fall,M,Magenta,25,4.3,False,True,Free Shipping,Credit Card,30,12.17,304.25
197,197,20,47,Summer,M,Lavender,88,3.9,False,True,Next Day Air,Credit Card,14,26.07,2294.16
198,198,7,40,Fall,M,Black,78,3.2,False,True,2-Day Shipping,Credit Card,30,12.17,949.26
199,199,6,44,Winter,M,Turquoise,45,4.8,False,True,Standard,Credit Card,14,26.07,1173.15
200,200,5,12,Summer,XL,Green,73,3.8,False,True,Express,Cash,7,52.14,3806.22
201,201,10,38,Summer,S,Teal,61,3.3,False,True,Next Day Air,Venmo,30,12.17,742.37
202,202,9,25,Fall,S,Beige,22,4.3,False,True,Free Shipping,Bank Transfer,365,1.0,22.0
203,203,5,27,Spring,L,Magenta,38,2.7,False,True,Express,Venmo,365,1.0,38.0
204,204,7,14,Fall,S,Yellow,38,3.2,False,True,Next Day Air,Bank Transfer,7,52.14,1981.32
205,205,23,3,Fall,M,Yellow,100,4.0,False,True,Store Pickup,Cash,14,26.07,2607.0
206,206,14,11,Winter,M,Silver,64,3.0,False,True,Standard,PayPal,7,52.14,3336.96
207,207,19,49,Summer,L,Silver,55,4.2,False,True,Free Shipping,Venmo,14,26.07,1433.85
208,208,3,39,Summer,M,Silver,91,2.9,False,True,Express,Bank Transfer,14,26.07,2372.37
209,209,16,49,Spring,M,Gold,38,4.1,False,True,Store Pickup,Credit Card,30,12.17,462.46
210,210,21,23,Winter,S,Olive,97,3.2,False,True,Store Pickup,Cash,90,4.06,393.82
211,211,25,45,Fall,L,Teal,22,3.0,False,True,2-Day Shipping,PayPal,14,26.07,573.54
212,212,16,41,Fall,L,Maroon,92,4.2,False,True,2-Day Shipping,Debit Card,14,26.07,2398.44
213,213,4,46,Fall,L,Blue,84,4.2,False,True,Express,Debit Card,365,1.0,84.0
214,214,4,28,Fall,L,Peach,93,4.4,False,True,Store Pickup,Debit Card,90,4.06,377.58
215,215,25,11,Summer,L,Blue,50,4.2,False,True,Next Day Air,Cash,90,4.06,203.0
216,216,7,30,Spring,S,Orange,64,2.8,False,True,2-Day Shipping,PayPal,14,26.07,1668.48
217,217,15,21,Spring,L,Yellow,61,3.7,False,True,Free Shipping,Venmo,7,52.14,3180.54
218,218,8,36,Winter,M,Purple,48,3.5,False,True,Next Day Air,Bank Transfer,365,1.0,48.0
219,219,19,5,Spring,S,Magenta,45,2.9,False,True,Store Pickup,Credit Card,90,4.06,182.7
220,220,2,28,Spring,M,Cyan,88,3.0,False,True,Free Shipping,Cash,14,26.07,2294.16
221,221,23,3,Spring,S,Indigo,57,3.7,False,True,Express,Debit Card,14,26.07,1485.99
222,222,5,33,Summer,XL,Magenta,68,4.4,False,True,Store Pickup,Bank Transfer,90,4.06,276.08
223,223,3,32,Spring,XL,Gray,94,4.5,False,True,2-Day Shipping,PayPal,14,26.07,2450.58
224,224,13,50,Spring,M,Turquoise,41,4.8,False,True,Free Shipping,PayPal,365,1.0,41.0
225,225,17,41,Summer,S,Beige,83,2.9,False,True,Free Shipping,Cash,90,4.06,336.98
226,226,25,4,Spring,M,Olive,22,3.2,False,True,Next Day Air,Bank Transfer,365,1.0,22.0
227,227,22,43,Spring,L,Violet,74,3.3,False,True,Free Shipping,PayPal,30,12.17,900.58
228,228,12,39,Winter,M,Turquoise,90,4.2,False,True,Standard,Venmo,14,26.07,2346.3
229,229,17,29,Spring,M,White,79,2.9,False,True,Store Pickup,Credit Card,365,1.0,79.0
230,230,21,35,Spring,S,Silver,28,4.6,False,True,Next Day Air,PayPal,90,4.06,113.68
231,231,7,44,Fall,L,Olive,88,4.1,False,True,Standard,Credit Card,365,1.0,88.0
232,232,9,42,Spring,M,Blue,26,3.1,False,True,2-Day Shipping,Debit Card,90,4.06,105.56
233,233,6,11,Winter,L,Purple,27,4.2,False,True,Express,Bank Transfer,14,26.07,703.89
234,234,18,3,Fall,XL,Yellow,83,4.5,False,True,Next Day Air,Bank Transfer,90,4.06,336.98
235,235,3,41,Summer,S,Silver,39,3.7,False,True,Next Day Air,Credit Card,7,52.14,2033.46
236,236,8,30,Winter,M,Cyan,89,3.7,False,True,Free Shipping,Debit Card,90,4.06,361.34
237,237,24,34,Winter,L,Green,68,3.4,False,True,Next Day Air,PayPal,14,26.07,1772.76
238,238,10,15,Summer,M,Beige,90,3.0,False,True,Store Pickup,Debit Card,14,26.07,2346.3
239,239,16,35,Fall,M,Peach,34,4.2,False,True,Free Shipping,Cash,365,1.0,34.0
240,240,13,45,Summer,L,Yellow,51,2.9,False,True,Express,Credit Card,14,26.07,1329.57
241,241,18,26,Winter,XL,Turquoise,45,3.5,False,True,Free Shipping,Bank Transfer,14,26.07,1173.15
242,242,11,8,Winter,M,Peach,88,4.1,False,True,Free Shipping,Venmo,14,26.07,2294.16
243,243,24,32,Summer,L,Gray,85,4.3,False,True,Store Pickup,Debit Card,90,4.06,345.1
244,244,6,17,Winter,M,Olive,100,2.8,False,True,2-Day Shipping,Debit Card,30,12.17,1217.0
245,245,2,37,Spring,S,Indigo,42,4.9,False,True,2-Day Shipping,PayPal,7,52.14,2189.88
246,246,21,39,Summer,L,Charcoal,53,3.3,False,True,Next Day Air,Venmo,14,26.07,1381.71
247,247,8,28,Spring,XL,Beige,86,3.2,False,True,Express,Venmo,14,26.07,2242.02
248,248,18,26,Spring,XL,Brown,66,4.4,False,True,Standard,Debit Card,7,52.14,3441.24
249,249,2,38,Winter,M,Blue,100,4.8,False,True,Express,PayPal,7,52.14,5214.0
250,250,4,2,Fall,S,Teal,47,4.2,False,True,Standard,Credit Card,365,1.0,47.0
251,251,16,24,Fall,L,Black,25,4.0,False,True,Express,Bank Transfer,7,52.14,1303.5
252,252,4,50,Winter,XL,Gold,51,2.5,False,True,Standard,PayPal,365,1.0,51.0
253,253,15,8,Summer,M,Violet,41,3.9,False,True,Free Shipping,Venmo,14,26.07,1068.87
254,254,20,36,Winter,L,Cyan,73,4.9,False,True,2-Day Shipping,Bank Transfer,14,26.07,1903.11
255,255,8,14,Winter,M,White,42,3.5,False,True,Store Pickup,PayPal,14,26.07,1094.94
256,256,7,20,Spring,M,Charcoal,20,4.2,False,True,Free Shipping,Debit Card,365,1.0,20.0
257,257,6,41,Spring,XL,Violet,30,4.7,False,True,Express,Credit Card,90,4.06,121.8
258,258,4,48,Summer,M,Red,53,4.5,False,True,Express,Credit Card,90,4.06,215.18
259,259,3,1,Spring,S,Lavender,74,2.8,False,True,Express,Cash,90,4.06,300.44
260,260,12,18,Fall,M,Gold,57,2.9,False,True,Standard,Debit Card,365,1.0,57.0
261,261,5,26,Winter,S,Red,57,3.2,False,True,2-Day Shipping,Credit Card,90,4.06,231.42
262,262,12,5,Winter,L,Magenta,77,4.9,False,True,Standard,Credit Card,365,1.0,77.0
263,263,13,11,Summer,M,Teal,40,3.7,True,True,Next Day Air,Debit Card,365,1.0,40.0
264,264,15,15,Summer,M,Purple,46,4.3,False,True,Store Pickup,Venmo,30,12.17,559.82
265,265,13,6,Fall,S,Charcoal,78,3.9,False,True,Store Pickup,Cash,365,1.0,78.0
266,266,1,22,Spring,M,Gray,59,3.2,False,True,2-Day Shipping,Bank Transfer,14,26.07,1538.13
267,267,6,18,Summer,L,White,75,3.1,False,True,Express,Credit Card,7,52.14,3910.5
268,268,18,20,Spring,M,Olive,54,3.9,False,True,2-Day Shipping,Venmo,365,1.0,54.0
269,269,22,10,Spring,M,Charcoal,42,2.6,False,True,Store Pickup,Cash,30,12.17,511.14
270,270,9,10,Winter,M,Charcoal,44,3.3,False,True,Next Day Air,Cash,14,26.07,1147.08
271,271,12,34,Fall,XL,Orange,52,4.6,False,True,Free Shipping,Bank Transfer,365,1.0,52.0
272,272,8,20,Summer,XL,Yellow,69,4.6,False,True,Express,Credit Card,14,26.07,1798.83
273,273,6,37,Summer,M,Beige,26,4.4,False,True,2-Day Shipping,Debit Card,14,26.07,677.82
