customer_id,age,age_band,gender,loyalty_tier,segment,is_subscriber,previous_purchases
131,44,35-44,Male,Developing,Steady mid-tier,True,13
132,28,25-34,Male,Loyal,High-value regulars,True,46
133,30,25-34,Male,Loyal,High-value regulars,True,42
134,52,45-54,Male,Developing,Steady mid-tier,True,25
135,43,35-44,Male,Developing,Steady mid-tier,True,25
136,43,35-44,Male,Developing,Steady mid-tier,True,12
137,39,35-44,Male,New,Steady mid-tier,True,4
138,68,65+,Male,Established,High-value regulars,True,38
139,68,65+,Male,Loyal,High-value regulars,True,42
140,49,45-54,Male,Established,Steady mid-tier,True,30
141,63,55-64,Male,Loyal,High-value regulars,True,50
142,56,55-64,Male,Loyal,High-value regulars,True,45
143,37,35-44,Male,Established,High-value regulars,True,33
144,30,25-34,Male,Developing,Steady mid-tier,True,25
145,19,18-24,Male,Developing,Steady mid-tier,True,25
146,24,18-24,Male,Loyal,Steady mid-tier,True,44
147,52,45-54,Male,Developing,Steady mid-tier,True,21
148,63,55-64,Male,Established,High-value regulars,True,31
149,37,35-44,Male,Loyal,Steady mid-tier,True,47
150,38,35-44,Male,Developing,Steady mid-tier,True,14
151,35,35-44,Male,Developing,Steady mid-tier,True,17
152,28,25-34,Male,New,Steady mid-tier,True,3
153,30,25-34,Male,Loyal,Steady mid-tier,True,42
154,69,65+,Male,Developing,Steady mid-tier,True,22
155,41,35-44,Male,Developing,Steady mid-tier,True,21
156,63,55-64,Male,Developing,Steady mid-tier,True,21
157,35,35-44,Male,Established,Steady mid-tier,True,40
158,36,35-44,Male,New,High-value regulars,True,1
159,25,25-34,Male,Loyal,Steady mid-tier,True,50
160,58,55-64,Male,Established,Steady mid-tier,True,39
161,27,25-34,Male,Established,Steady mid-tier,True,34
162,65,65+,Male,Established,Steady mid-tier,True,29
163,54,45-54,Male,Established,High-value regulars,True,31
164,54,45-54,Male,New,High-value regulars,True,8
165,59,55-64,Male,New,High-value regulars,True,5
166,42,35-44,Male,New,Steady mid-tier,True,7
167,46,45-54,Male,Established,Steady mid-tier,True,30
168,33,25-34,Male,Developing,Steady mid-tier,True,14
169,34,25-34,Male,New,High-value regulars,True,5
170,27,25-34,Male,New,Steady mid-tier,True,3
171,52,45-54,Male,Loyal,Steady mid-tier,True,46
172,29,25-34,Male,New,High-value regulars,True,4
173,54,45-54,Male,Loyal,High-value regulars,True,42
174,25,25-34,Male,Established,Steady mid-tier,True,30
175,41,35-44,Male,Established,Steady mid-tier,True,37
176,53,45-54,Male,New,Steady mid-tier,True,2
177,53,45-54,Male,Established,Steady mid-tier,True,30
178,21,18-24,Male,Loyal,Steady mid-tier,True,47
179,61,55-64,Male,Developing,Steady mid-tier,True,21
180,64,55-64,Male,New,Steady mid-tier,True,9
181,51,45-54,Male,Developing,High-value regulars,True,12
182,32,25-34,Male,New,High-value regulars,True,4
183,38,35-44,Male,New,Steady mid-tier,True,10
184,58,55-64,Male,Established,High-value regulars,True,26
185,32,25-34,Male,Established,Steady mid-tier,True,40
186,46,45-54,Male,Established,Steady mid-tier,True,34
187,39,35-44,Male,Established,Steady mid-tier,True,31
188,19,18-24,Male,New,High-value regulars,True,1
189,50,45-54,Male,New,Steady mid-tier,True,5
190,36,35-44,Male,New,High-value regulars,True,4
191,65,65+,Male,Loyal,Steady mid-tier,True,48
192,64,55-64,Male,Established,Steady mid-tier,True,29
193,46,45-54,Male,Developing,Steady mid-tier,True,12
194,36,35-44,Male,Established,Steady mid-tier,True,29
195,51,45-54,Male,Developing,Steady mid-tier,True,15
196,51,45-54,Male,Established,Steady mid-tier,True,34
197,38,35-44,Male,Loyal,High-value regulars,True,41
198,59,55-64,Male,Loyal,Steady mid-tier,True,41
199,57,55-64,Male,Established,Steady mid-tier,True,39
200,54,45-54,Male,Established,High-value regulars,True,32
201,25,25-34,Male,Established,Steady mid-tier,True,29
202,69,65+,Male,Developing,Steady mid-tier,True,15
203,57,55-64,Male,Established,Steady mid-tier,True,33
204,70,65+,Male,Developing,High-value regulars,True,18
205,24,18-24,Male,Established,High-value regulars,True,35
206,67,65+,Male,Developing,High-value regulars,True,25
207,24,18-24,Male,New,High-value regulars,True,6
208,62,55-64,Male,Developing,High-value regulars,True,17
209,57,55-64,Male,Developing,Steady mid-tier,True,17
210,55,55-64,Male,Loyal,Steady mid-tier,True,44
211,45,45-54,Male,New,Steady mid-tier,True,6
212,69,65+,Male,Loyal,High-value regulars,True,45
213,67,65+,Male,New,Steady mid-tier,True,7
214,30,25-34,Male,Developing,Steady mid-tier,True,11
215,24,18-24,Male,Loyal,Steady mid-tier,True,41
216,62,55-64,Male,Developing,High-value regulars,True,24
217,43,35-44,Male,Developing,High-value regulars,True,21
218,35,35-44,Male,Developing,Steady mid-tier,True,24
219,28,25-34,Male,New,Steady mid-tier,True,8
220,32,25-34,Male,Developing,High-value regulars,True,12
221,39,35-44,Male,Loyal,High-value regulars,True,48
222,28,25-34,Male,New,Steady mid-tier,True,6
223,47,45-54,Male,Developing,High-value regulars,True,14
224,20,18-24,Male,Established,Steady mid-tier,True,34
225,63,55-64,Male,Developing,Steady mid-tier,True,12
226,25,25-34,Male,Developing,Steady mid-tier,True,11
227,29,25-34,Male,New,Steady mid-tier,True,5
228,50,45-54,Male,Developing,High-value regulars,True,25
229,18,18-24,Male,Developing,Steady mid-tier,True,11
230,70,65+,Male,Established,Steady mid-tier,True,27
231,66,65+,Male,Loyal,Steady mid-tier,True,43
232,28,25-34,Male,Developing,Steady mid-tier,True,18
233,54,45-54,Male,Established,Steady mid-tier,True,32
234,19,18-24,Male,Established,Steady mid-tier,True,27
235,20,18-24,Male,Developing,High-value regulars,True,24
236,43,35-44,Male,Established,Steady mid-tier,True,31
237,38,35-44,Male,Established,High-value regulars,True,39
238,50,45-54,Male,Established,High-value regulars,True,36
239,64,55-64,Male,New,Steady mid-tier,True,5
240,49,45-54,Male,Loyal,Steady mid-tier,True,47
241,47,45-54,Male,Established,Steady mid-tier,True,29
242,36,35-44,Male,Loyal,High-value regulars,True,43
243,55,55-64,Male,Established,Steady mid-tier,True,40
244,25,25-34,Male,New,Steady mid-tier,True,4
245,53,45-54,Male,Established,High-value regulars,True,39
246,49,45-54,Male,Loyal,Steady mid-tier,True,45
247,35,35-44,Male,Developing,High-value regulars,True,20
248,29,25-34,Male,Developing,High-value regulars,True,14
249,47,45-54,Male,Established,High-value regulars,True,33
250,53,45-54,Male,Developing,Steady mid-tier,True,18
251,33,25-34,Male,New,High-value regulars,True,9
252,21,18-24,Male,Established,Steady mid-tier,True,34
253,32,25-34,Male,Established,Steady mid-tier,True,33
254,52,45-54,Male,Developing,High-value regulars,True,15
255,67,65+,Male,New,Steady mid-tier,True,4
256,43,35-44,Male,Developing,Steady mid-tier,True,25
257,58,55-64,Male,Developing,Steady mid-tier,True,20
258,20,18-24,Male,New,Steady mid-tier,True,5
259,61,55-64,Male,Developing,Steady mid-tier,True,16
260,32,25-34,Male,Developing,Steady mid-tier,True,13
261,38,35-44,Male,Developing,Steady mid-tier,True,11
262,21,18-24,Male,Developing,Steady mid-tier,True,21
263,37,35-44,Male,New,Steady mid-tier,True,6
264,27,25-34,Male,Established,Steady mid-tier,True,29
265,36,35-44,Male,Developing,Steady mid-tier,True,15
266,32,25-34,Male,Developing,High-value regulars,True,17
267,51,45-54,Male,Established,High-value regulars,True,32
268,64,55-64,Male,Loyal,Steady mid-tier,True,42
269,68,65+,Male,Developing,Steady mid-tier,True,21
270,68,65+,Male,New,Steady mid-tier,True,9
271,33,25-34,Male,Developing,Steady mid-tier,True,16
272,65,65+,Male,Loyal,High-value regulars,True,42
273,48,45-54,Male,Established,Steady mid-tier,True,37
274,69,65+,Male,Established,Steady mid-tier,True,32
275,59,55-64,Male,Established,Steady mid-tier,True,28
276,48,45-54,Male,Developing,High-value regulars,True,13
277,25,25-34,Male,Developing,Steady mid-tier,True,11
278,29,25-34,Male,Established,Steady mid-tier,True,36
279,57,55-64,Male,Developing,Steady mid-tier,True,23
280,23,18-24,Male,Established,Steady mid-tier,True,37
281,45,45-54,Male,Developing,High-value regulars,True,21
282,38,35-44,Male,Developing,High-value regulars,True,22
283,21,18-24,Male,New,Steady mid-tier,True,9
284,32,25-34,Male,Developing,Steady mid-tier,True,16
285,63,55-64,Male,New,Steady mid-tier,True,4
286,29,25-34,Male,New,Steady mid-tier,True,3
287,27,25-34,Male,New,Steady mid-tier,True,6
288,56,55-64,Male,Developing,Steady mid-tier,True,18
289,30,25-34,Male,Established,High-value regulars,True,34
290,49,45-54,Male,Established,Steady mid-tier,True,26
291,58,55-64,Male,Loyal,High-value regulars,True,50
292,57,55-64,Male,Established,Steady mid-tier,True,40
293,60,55-64,Male,Developing,Steady mid-tier,True,24
294,69,65+,Male,Established,Steady mid-tier,True,33
295,70,65+,Male,Developing,Steady mid-tier,True,19
296,53,45-54,Male,Developing,Steady mid-tier,True,24
297,25,25-34,Male,Developing,High-value regulars,True,19
298,48,45-54,Male,New,Steady mid-tier,True,4
299,69,65+,Male,Developing,Steady mid-tier,True,11
300,25,25-34,Male,Established,High-value regulars,True,28
301,29,25-34,Male,Developing,High-value regulars,True,24
302,46,45-54,Male,Developing,Steady mid-tier,True,25
303,37,35-44,Male,Established,Steady mid-tier,True,27
304,20,18-24,Male,Loyal,High-value regulars,True,49
305,40,35-44,Male,Loyal,High-value regulars,True,45
306,60,55-64,Male,Established,Steady mid-tier,True,26
307,26,25-34,Male,New,Steady mid-tier,True,4
308,29,25-34,Male,New,Steady mid-tier,True,3
309,66,65+,Male,Loyal,Steady mid-tier,True,45
310,66,65+,Male,Developing,Steady mid-tier,True,21
311,56,55-64,Male,Loyal,High-value regulars,True,50
312,69,65+,Male,Developing,Steady mid-tier,True,19
313,38,35-44,Male,New,Steady mid-tier,True,6
314,42,35-44,Male,Loyal,Steady mid-tier,True,50
315,30,25-34,Male,Developing,Steady mid-tier,True,17
316,66,65+,Male,Developing,Steady mid-tier,True,24
317,36,35-44,Male,Loyal,Steady mid-tier,True,46
318,58,55-64,Male,Loyal,Steady mid-tier,True,42
319,45,45-54,Male,New,Steady mid-tier,True,10
320,47,45-54,Male,New,Steady mid-tier,True,1
321,66,65+,Male,Established,Steady mid-tier,True,28
322,41,35-44,Male,Loyal,Steady mid-tier,True,48
323,41,35-44,Male,Loyal,Steady mid-tier,True,47
324,66,65+,Male,Established,High-value regulars,True,29
325,37,35-44,Male,Established,Steady mid-tier,True,37
326,70,65+,Male,Established,Steady mid-tier,True,38
327,62,55-64,Male,Loyal,High-value regulars,True,48
328,61,55-64,Male,Established,High-value regulars,True,36
329,48,45-54,Male,New,High-value regulars,True,9
330,70,65+,Male,Established,Steady mid-tier,True,34
331,46,45-54,Male,Loyal,Steady mid-tier,True,43
332,31,25-34,Male,Loyal,Steady mid-tier,True,46
333,19,18-24,Male,New,Steady mid-tier,True,5
334,39,35-44,Male,Developing,High-value regulars,True,15
335,41,35-44,Male,Established,Steady mid-tier,True,30
336,20,18-24,Male,Loyal,Steady mid-tier,True,44
337,36,35-44,Male,Developing,Steady mid-tier,True,16
338,32,25-34,Male,Developing,Steady mid-tier,True,16
339,69,65+,Male,Developing,High-value regulars,True,16
340,40,35-44,Male,Developing,Steady mid-tier,True,21
341,40,35-44,Male,Established,Steady mid-tier,True,39
342,20,18-24,Male,Established,Steady mid-tier,True,40
343,64,55-64,Male,Loyal,Steady mid-tier,True,48
344,27,25-34,Male,Established,Steady mid-tier,True,26
345,24,18-24,Male,Loyal,Steady mid-tier,True,46
346,48,45-54,Male,Established,Steady mid-tier,True,27
347,49,45-54,Male,New,High-value regulars,True,5
348,36,35-44,Male,Loyal,Steady mid-tier,True,43
349,56,55-64,Male,Developing,High-value regulars,True,17
350,37,35-44,Male,New,High-value regulars,True,3
351,42,35-44,Male,Loyal,High-value regulars,True,47
352,28,25-34,Male,Developing,High-value regulars,True,24
353,27,25-34,Male,Developing,Steady mid-tier,True,12
354,63,55-64,Male,Established,Steady mid-tier,True,35
355,58,55-64,Male,Loyal,High-value regulars,True,42
356,37,35-44,Male,New,Steady mid-tier,True,1
357,56,55-64,Male,Established,High-value regulars,True,27
358,18,18-24,Male,Developing,High-value regulars,True,16
359,48,45-54,Male,Established,Steady mid-tier,True,36
360,31,25-34,Male,Established,Steady mid-tier,True,30
361,51,45-54,Male,Developing,Steady mid-tier,True,18
362,65,65+,Male,Loyal,Steady mid-tier,True,45
363,53,45-54,Male,New,High-value regulars,True,1
364,55,55-64,Male,Loyal,High-value regulars,True,42
365,62,55-64,Male,New,Steady mid-tier,True,7
366,55,55-64,Male,Loyal,Steady mid-tier,True,50
367,64,55-64,Male,Established,Steady mid-tier,True,37
368,52,45-54,Male,Developing,Steady mid-tier,True,18
369,24,18-24,Male,Established,Steady mid-tier,True,29
370,38,35-44,Male,Loyal,Steady mid-tier,True,45
371,59,55-64,Male,Developing,High-value regulars,True,13
372,27,25-34,Male,Loyal,Steady mid-tier,True,47
373,24,18-24,Male,New,High-value regulars,True,7
374,23,18-24,Male,Developing,Steady mid-tier,True,11
375,69,65+,Male,Established,Steady mid-tier,True,39
376,59,55-64,Male,New,Steady mid-tier,True,6
377,51,45-54,Male,New,Steady mid-tier,True,2
378,63,55-64,Male,Established,Steady mid-tier,True,39
379,54,45-54,Male,Developing,Steady mid-tier,True,23
380,32,25-34,Male,Loyal,Steady mid-tier,True,46
381,39,35-44,Male,Developing,High-value regulars,True,19
382,66,65+,Male,New,Steady mid-tier,True,3
383,28,25-34,Male,Loyal,Steady mid-tier,True,47
384,50,45-54,Male,New,Steady mid-tier,True,6
385,70,65+,Male,New,Steady mid-tier,True,6
386,67,65+,Male,Developing,High-value regulars,True,12
387,64,55-64,Male,Established,Steady mid-tier,True,40
388,45,45-54,Male,Established,High-value regulars,True,38
389,22,18-24,Male,New,Steady mid-tier,True,10
390,27,25-34,Male,Established,Steady mid-tier,True,28
391,25,25-34,Male,Developing,Steady mid-tier,True,19
392,37,35-44,Male,Developing,High-value regulars,True,25
393,26,25-34,Male,Established,Steady mid-tier,True,38
394,33,25-34,Male,New,High-value regulars,True,6
395,43,35-44,Male,New,Steady mid-tier,True,7
396,37,35-44,Male,New,Steady mid-tier,True,2
397,46,45-54,Male,Developing,Steady mid-tier,True,24
398,22,18-24,Male,Established,Steady mid-tier,True,26
399,20,18-24,Male,Developing,Steady mid-tier,True,25
400,60,55-64,Male,New,Steady mid-tier,True,10
401,39,35-44,Male,Developing,High-value regulars,True,14
402,43,35-44,Male,Developing,Steady mid-tier,True,21
403,31,25-34,Male,Established,Steady mid-tier,True,26
404,19,18-24,Male,Developing,Steady mid-tier,True,12
405,35,35-44,Male,Developing,Steady mid-tier,True,11
406,41,35-44,Male,Developing,Steady mid-tier,True,15
407,52,45-54,Male,Developing,Steady mid-tier,True,13
408,45,45-54,Male,New,High-value regulars,True,5
409,34,25-34,Male,Established,High-value regulars,True,36
410,35,35-44,Male,Established,Steady mid-tier,True,32
411,29,25-34,Male,New,Steady mid-tier,True,1
412,59,55-64,Male,Developing,Steady mid-tier,True,15
413,24,18-24,Male,New,High-value regulars,True,3
414,70,65+,Male,Loyal,Steady mid-tier,True,48
415,29,25-34,Male,Established,High-value regulars,True,30
416,67,65+,Male,Established,Steady mid-tier,True,40
417,36,35-44,Male,Developing,High-value regulars,True,24
418,23,18-24,Male,Loyal,Steady mid-tier,True,48
419,18,18-24,Male,Established,High-value regulars,True,27
420,53,45-54,Male,Developing,Steady mid-tier,True,14
421,32,25-34,Male,Developing,Steady mid-tier,True,18
422,38,35-44,Male,Loyal,Steady mid-tier,True,48
423,47,45-54,Male,Established,Steady mid-tier,True,32
424,46,45-54,Male,Developing,Steady mid-tier,True,21
425,66,65+,Male,Loyal,Steady mid-tier,True,42
426,40,35-44,Male,New,Steady mid-tier,True,4
427,43,35-44,Male,Developing,Steady mid-tier,True,19
428,58,55-64,Male,New,Steady mid-tier,True,6
429,21,18-24,Male,New,High-value regulars,True,2
430,42,35-44,Male,Developing,High-value regulars,True,21
431,24,18-24,Male,Established,Steady mid-tier,True,40
432,43,35-44,Male,Established,High-value regulars,True,33
433,47,45-54,Male,Established,High-value regulars,True,26
434,49,45-54,Male,Developing,High-value regulars,True,23
435,50,45-54,Male,Established,Steady mid-tier,True,39
436,51,45-54,Male,Loyal,Steady mid-tier,True,42
437,40,35-44,Male,Loyal,High-value regulars,True,41
438,45,45-54,Male,Loyal,Steady mid-tier,True,41
439,52,45-54,Male,Developing,Steady mid-tier,True,12
440,62,55-64,Male,Established,Steady mid-tier,True,31
441,20,18-24,Male,Established,High-value regulars,True,34
442,43,35-44,Male,Established,Steady mid-tier,True,32
443,29,25-34,Male,Established,Steady mid-tier,True,31
444,22,18-24,Male,Developing,Steady mid-tier,True,24
445,48,45-54,Male,Established,Steady mid-tier,True,31
446,42,35-44,Male,Developing,Steady mid-tier,True,18
447,19,18-24,Male,Developing,Steady mid-tier,True,15
448,60,55-64,Male,New,Steady mid-tier,True,7
449,32,25-34,Male,Established,Steady mid-tier,True,35
450,26,25-34,Male,Established,Steady mid-tier,True,35
451,25,25-34,Male,Developing,Steady mid-tier,True,19
452,66,65+,Male,Established,Steady mid-tier,True,26
453,45,45-54,Male,Established,Steady mid-tier,True,39
454,54,45-54,Male,Developing,High-value regulars,True,22
455,37,35-44,Male,Developing,High-value regulars,True,14
456,54,45-54,Male,Loyal,High-value regulars,True,50
457,50,45-54,Male,Established,Steady mid-tier,True,33
458,25,25-34,Male,Loyal,Steady mid-tier,True,48
459,47,45-54,Male,Loyal,Steady mid-tier,True,48
460,63,55-64,Male,Established,Steady mid-tier,True,27
461,64,55-64,Male,Established,High-value regulars,True,27
462,18,18-24,Male,Developing,High-value regulars,True,20
463,59,55-64,Male,Loyal,Steady mid-tier,True,48
464,37,35-44,Male,Established,High-value regulars,True,29
465,23,18-24,Male,Loyal,Steady mid-tier,True,45
466,54,45-54,Male,Developing,Steady mid-tier,True,25
467,38,35-44,Male,Developing,High-value regulars,True,25
468,19,18-24,Male,Established,Steady mid-tier,True,37
469,34,25-34,Male,Developing,Steady mid-tier,True,16
470,21,18-24,Male,Established,Steady mid-tier,True,30
471,50,45-54,Male,New,Steady mid-tier,True,6
472,55,55-64,Male,Established,Steady mid-tier,True,36
473,20,18-24,Male,New,Steady mid-tier,True,3
474,34,25-34,Male,Established,Steady mid-tier,True,29
475,62,55-64,Male,Developing,Steady mid-tier,True,15
476,21,18-24,Male,Developing,Steady mid-tier,True,18
477,21,18-24,Male,New,High-value regulars,True,2
478,42,35-44,Male,Loyal,High-value regulars,True,49
479,35,35-44,Male,Loyal,Steady mid-tier,True,48
480,39,35-44,Male,Loyal,Steady mid-tier,True,43
481,68,65+,Male,Established,High-value regulars,True,30
482,46,45-54,Male,New,High-value regulars,True,10
483,41,35-44,Male,Developing,Steady mid-tier,True,11
484,23,18-24,Male,Developing,High-value regulars,True,12
485,68,65+,Male,Established,Steady mid-tier,True,28
486,48,45-54,Male,Established,Steady mid-tier,True,36
487,38,35-44,Male,Established,Steady mid-tier,True,37
488,41,35-44,Male,Developing,Steady mid-tier,True,22
489,58,55-64,Male,Established,High-value regulars,True,32
490,49,45-54,Male,Established,Steady mid-tier,True,40
491,57,55-64,Male,Loyal,Steady mid-tier,True,47
492,49,45-54,Male,Developing,High-value regulars,True,24
493,50,45-54,Male,Developing,High-value regulars,True,11
494,28,25-34,Male,Developing,Steady mid-tier,True,19
495,38,35-44,Male,Loyal,High-value regulars,True,42
496,33,25-34,Male,New,Steady mid-tier,True,6
497,30,25-34,Male,Established,High-value regulars,True,31
498,43,35-44,Male,Established,High-value regulars,True,31
499,43,35-44,Male,Established,Steady mid-tier,True,27
500,36,35-44,Male,Developing,Steady mid-tier,True,24
501,36,35-44,Male,Established,Steady mid-tier,True,35
502,64,55-64,Male,Developing,Steady mid-tier,True,21
503,59,55-64,Male,New,Steady mid-tier,True,8
504,55,55-64,Male,Established,Steady mid-tier,True,26
505,42,35-44,Male,Established,Steady mid-tier,True,26
506,61,55-64,Male,New,High-value regulars,True,9
507,28,25-34,Male,Loyal,Steady mid-tier,True,48
508,65,65+,Male,Established,Steady mid-tier,True,33
509,27,25-34,Male,Established,Steady mid-tier,True,31
510,41,35-44,Male,Developing,High-value regulars,True,17
511,21,18-24,Male,Developing,Steady mid-tier,True,22
512,61,55-64,Male,New,Steady mid-tier,True,8
513,19,18-24,Male,New,Steady mid-tier,True,2
514,22,18-24,Male,Loyal,Steady mid-tier,True,45
515,64,55-64,Male,Loyal,Steady mid-tier,True,47
516,28,25-34,Male,New,Steady mid-tier,True,7
517,34,25-34,Male,Developing,Steady mid-tier,True,19
518,61,55-64,Male,Loyal,Steady mid-tier,True,44
519,24,18-24,Male,Developing,Steady mid-tier,True,16
