customer_id,age,age_band,gender,location,category,item_purchased,size,color,season,purchase_amount,review_rating,review_rating_imputed,subscription_status,is_subscriber,shipping_type,discount_applied,received_discount,payment_method,previous_purchases,loyalty_tier,frequency_of_purchases,purchase_frequency_days,purchases_per_year,est_annual_value,segment_id,segment
30,31,25-34,Male,Wyoming,Clothing,Dress,S,Black,Fall,48,4.1,False,Yes,True,Store Pickup,Yes,True,Credit Card,14,Developing,Weekly,7,52.14,2502.72,0,High-value regulars
31,57,55-64,Male,North Carolina,Accessories,Jewelry,L,Black,Winter,31,4.7,False,Yes,True,Standard,Yes,True,Credit Card,16,Developing,Monthly,30,12.17,377.27,1,Steady mid-tier
32,33,25-34,Male,West Virginia,Clothing,Dress,L,Brown,Winter,79,4.7,False,Yes,True,Store Pickup,Yes,True,Venmo,45,Loyal,Monthly,30,12.17,961.43,1,Steady mid-tier
33,36,35-44,Male,Kansas,Outerwear,Jacket,M,Silver,Summer,67,4.9,False,Yes,True,Free Shipping,Yes,True,Venmo,37,Established,Annually,365,1.0,67.0,1,Steady mid-tier
34,54,45-54,Male,Colorado,Clothing,Pants,L,Green,Summer,38,3.3,False,Yes,True,Store Pickup,Yes,True,Cash,45,Loyal,Quarterly,90,4.06,154.28,1,Steady mid-tier
35,36,35-44,Male,North Dakota,Clothing,T-shirt,L,Violet,Spring,91,4.6,False,Yes,True,2-Day Shipping,Yes,True,PayPal,38,Established,Quarterly,90,4.06,369.46,1,Steady mid-tier
36,54,45-54,Male,Massachusetts,Clothing,Blouse,M,Cyan,Summer,33,4.0,False,Yes,True,2-Day Shipping,Yes,True,Credit Card,48,Loyal,Bi-Weekly,14,26.07,860.31,1,Steady mid-tier
37,35,35-44,Male,Illinois,Clothing,T-shirt,M,Maroon,Winter,69,4.6,False,Yes,True,Free Shipping,Yes,True,PayPal,44,Loyal,Fortnightly,14,26.07,1798.83,0,High-value regulars
38,35,35-44,Male,Indiana,Clothing,Jeans,S,Cyan,Summer,45,2.8,False,Yes,True,Store Pickup,Yes,True,PayPal,10,New,Weekly,7,52.14,2346.3,0,High-value regulars
39,29,25-34,Male,Florida,Clothing,Dress,M,Red,Winter,37,3.7,True,Yes,True,2-Day Shipping,Yes,True,Venmo,44,Loyal,Every 3 Months,90,4.06,150.22,1,Steady mid-tier
40,70,65+,Male,Arizona,Clothing,Pants,S,Turquoise,Summer,60,4.2,False,Yes,True,Express,Yes,True,Credit Card,18,Developing,Monthly,30,12.17,730.2,1,Steady mid-tier
41,69,65+,Male,Louisiana,Accessories,Handbag,L,Beige,Winter,76,4.6,False,Yes,True,Next Day Air,Yes,True,Debit Card,31,Established,Quarterly,90,4.06,308.56,1,Steady mid-tier
42,67,65+,Male,Alaska,Accessories,Scarf,M,Orange,Spring,39,4.5,False,Yes,True,Standard,Yes,True,Venmo,40,Established,Annually,365,1.0,39.0,1,Steady mid-tier
43,20,18-24,Male,Tennessee,Outerwear,Coat,M,Beige,Spring,100,4.1,False,Yes,True,Free Shipping,Yes,True,PayPal,15,Developing,Annually,365,1.0,100.0,1,Steady mid-tier
44,25,25-34,Male,Ohio,Accessories,Scarf,L,Lavender,Fall,69,3.7,False,Yes,True,Store Pickup,Yes,True,PayPal,19,Developing,Fortnightly,14,26.07,1798.83,0,High-value regulars
45,39,35-44,Male,Kentucky,Accessories,Hat,S,Silver,Summer,53,4.6,False,Yes,True,Free Shipping,Yes,True,PayPal,45,Loyal,Weekly,7,52.14,2763.42,0,High-value regulars
46,50,45-54,Male,Tennessee,Clothing,Socks,XL,Indigo,Fall,21,2.9,False,Yes,True,2-Day Shipping,Yes,True,PayPal,25,Developing,Annually,365,1.0,21.0,1,Steady mid-tier
47,57,55-64,Male,California,Clothing,Shirt,L,White,Summer,43,2.9,False,Yes,True,Store Pickup,Yes,True,Cash,45,Loyal,Quarterly,90,4.06,174.58,1,Steady mid-tier
48,55,55-64,Male,Montana,Accessories,Jewelry,M,Charcoal,Winter,54,4.5,False,Yes,True,Free Shipping,Yes,True,Cash,36,Established,Weekly,7,52.14,2815.56,0,High-value regulars
49,42,35-44,Male,Nevada,Clothing,Shirt,M,Orange,Summer,55,2.7,False,Yes,True,Store Pickup,Yes,True,Cash,38,Established,Monthly,30,12.17,669.35,1,Steady mid-tier
50,68,65+,Male,New Jersey,Clothing,Hoodie,S,Indigo,Spring,30,4.6,False,Yes,True,Next Day Air,Yes,True,Debit Card,34,Established,Bi-Weekly,14,26.07,782.1,1,Steady mid-tier
51,49,45-54,Male,Maryland,Clothing,Blouse,M,Red,Spring,28,3.7,True,Yes,True,Store Pickup,Yes,True,Debit Card,39,Established,Bi-Weekly,14,26.07,729.96,1,Steady mid-tier
52,59,55-64,Male,Vermont,Clothing,Skirt,XL,Gray,Winter,59,4.7,False,Yes,True,2-Day Shipping,Yes,True,Credit Card,7,New,Quarterly,90,4.06,239.54,1,Steady mid-tier
53,42,35-44,Male,Alaska,Clothing,T-shirt,M,Green,Summer,20,2.6,False,Yes,True,Free Shipping,Yes,True,Credit Card,26,Established,Weekly,7,52.14,1042.8,0,High-value regulars
54,29,25-34,Male,Mississippi,Clothing,Skirt,S,Peach,Winter,24,3.9,False,Yes,True,Next Day Air,Yes,True,Credit Card,35,Established,Weekly,7,52.14,1251.36,0,High-value regulars
55,47,45-54,Male,New Mexico,Outerwear,Coat,M,Brown,Summer,94,4.2,False,Yes,True,Next Day Air,Yes,True,Debit Card,35,Established,Bi-Weekly,14,26.07,2450.58,0,High-value regulars
56,40,35-44,Male,South Carolina,Outerwear,Jacket,M,Lavender,Winter,28,3.0,False,Yes,True,2-Day Shipping,Yes,True,Credit Card,49,Loyal,Annually,365,1.0,28.0,1,Steady mid-tier
57,41,35-44,Male,Mississippi,Accessories,Backpack,XL,Brown,Summer,73,4.7,False,Yes,True,Store Pickup,Yes,True,Credit Card,46,Loyal,Weekly,7,52.14,3806.22,0,High-value regulars
58,21,18-24,Male,West Virginia,Outerwear,Coat,M,White,Summer,64,4.4,False,Yes,True,Store Pickup,Yes,True,Debit Card,17,Developing,Fortnightly,14,26.07,1668.48,0,High-value regulars
59,69,65+,Male,Missouri,Clothing,Hoodie,M,Charcoal,Summer,54,4.2,False,Yes,True,Free Shipping,Yes,True,Venmo,29,Established,Monthly,30,12.17,657.18,1,Steady mid-tier
60,63,55-64,Male,Louisiana,Accessories,Belt,L,Yellow,Spring,79,4.6,False,Yes,True,Standard,Yes,True,Debit Card,4,New,Weekly,7,52.14,4119.06,0,High-value regulars
61,50,45-54,Male,Idaho,Clothing,Sweater,L,Brown,Summer,37,4.0,False,Yes,True,Express,Yes,True,Cash,17,Developing,Weekly,7,52.14,1929.18,0,High-value regulars
62,55,55-64,Male,Texas,Accessories,Scarf,M,Orange,Winter,68,4.7,False,Yes,True,Store Pickup,Yes,True,Credit Card,21,Developing,Every 3 Months,90,4.06,276.08,1,Steady mid-tier
63,30,25-34,Male,Mississippi,Footwear,Sneakers,S,Magenta,Spring,21,3.8,False,Yes,True,Free Shipping,Yes,True,Credit Card,31,Established,Fortnightly,14,26.07,547.47,1,Steady mid-tier
64,33,25-34,Male,Arizona,Accessories,Sunglasses,L,Lavender,Winter,79,2.7,False,Yes,True,2-Day Shipping,Yes,True,Credit Card,43,Loyal,Weekly,7,52.14,4119.06,0,High-value regulars
65,65,65+,Male,Alabama,Footwear,Boots,S,Green,Fall,83,4.8,False,Yes,True,Standard,Yes,True,Debit Card,18,Developing,Fortnightly,14,26.07,2163.81,0,High-value regulars
66,65,65+,Male,New Jersey,Accessories,Backpack,M,Purple,Spring,36,4.8,False,Yes,True,2-Day Shipping,Yes,True,Venmo,44,Loyal,Every 3 Months,90,4.06,146.16,1,Steady mid-tier
67,31,25-34,Male,Pennsylvania,Clothing,Blouse,S,Magenta,Winter,94,4.7,False,Yes,True,2-Day Shipping,Yes,True,Venmo,3,New,Every 3 Months,90,4.06,381.64,1,Steady mid-tier
68,45,45-54,Male,Connecticut,Outerwear,Coat,L,Gray,Winter,33,4.4,False,Yes,True,Store Pickup,Yes,True,Debit Card,49,Loyal,Monthly,30,12.17,401.61,1,Steady mid-tier
69,57,55-64,Male,Utah,Accessories,Handbag,L,Silver,Summer,46,3.9,False,Yes,True,Next Day Air,Yes,True,Cash,21,Developing,Every 3 Months,90,4.06,186.76,1,Steady mid-tier
70,48,45-54,Male,Tennessee,Accessories,Belt,S,Cyan,Summer,70,4.4,False,Yes,True,Express,Yes,True,Cash,5,New,Weekly,7,52.14,3649.8,0,High-value regulars
71,22,18-24,Male,Alabama,Accessories,Belt,M,Magenta,Fall,29,4.2,False,Yes,True,Express,Yes,True,Debit Card,32,Established,Every 3 Months,90,4.06,117.74,1,Steady mid-tier
72,36,35-44,Male,Virginia,Clothing,Dress,L,Gold,Summer,48,2.9,False,Yes,True,Express,Yes,True,Bank Transfer,34,Established,Annually,365,1.0,48.0,1,Steady mid-tier
73,18,18-24,Male,Georgia,Clothing,Dress,M,Olive,Winter,26,2.9,False,Yes,True,Store Pickup,Yes,True,Bank Transfer,21,Developing,Every 3 Months,90,4.06,105.56,1,Steady mid-tier
74,48,45-54,Male,Hawaii,Clothing,Pants,M,Teal,Spring,85,2.7,False,Yes,True,Free Shipping,Yes,True,Bank Transfer,43,Loyal,Bi-Weekly,14,26.07,2215.95,0,High-value regulars
75,49,45-54,Male,Indiana,Accessories,Gloves,L,Violet,Spring,58,4.5,False,Yes,True,Express,Yes,True,Cash,3,New,Monthly,30,12.17,705.86,1,Steady mid-tier
76,64,55-64,Male,Utah,Accessories,Scarf,M,Blue,Summer,85,2.7,False,Yes,True,Free Shipping,Yes,True,Credit Card,21,Developing,Annually,365,1.0,85.0,1,Steady mid-tier
77,50,45-54,Male,Delaware,Accessories,Hat,S,Teal,Summer,43,4.2,False,Yes,True,Free Shipping,Yes,True,Venmo,32,Established,Monthly,30,12.17,523.31,1,Steady mid-tier
78,22,18-24,Male,Delaware,Clothing,Dress,L,Gold,Summer,53,3.3,False,Yes,True,Next Day Air,Yes,True,Debit Card,36,Established,Fortnightly,14,26.07,1381.71,1,Steady mid-tier
79,50,45-54,Male,Nebraska,Clothing,Skirt,M,Maroon,Spring,91,4.7,False,Yes,True,Free Shipping,Yes,True,Venmo,50,Loyal,Fortnightly,14,26.07,2372.37,0,High-value regulars
80,38,35-44,Male,Iowa,Outerwear,Jacket,M,Olive,Winter,96,2.6,False,Yes,True,2-Day Shipping,Yes,True,Bank Transfer,43,Loyal,Every 3 Months,90,4.06,389.76,1,Steady mid-tier
81,19,18-24,Male,New York,Footwear,Sandals,XL,Blue,Summer,72,3.8,True,Yes,True,Store Pickup,Yes,True,Credit Card,24,Developing,Every 3 Months,90,4.06,292.32,1,Steady mid-tier
82,67,65+,Male,Virginia,Footwear,Shoes,L,Maroon,Summer,96,2.6,False,Yes,True,Express,Yes,True,Credit Card,36,Established,Every 3 Months,90,4.06,389.76,1,Steady mid-tier
83,19,18-24,Male,Georgia,Clothing,Pants,S,Olive,Spring,28,4.0,False,Yes,True,2-Day Shipping,Yes,True,Credit Card,21,Developing,Every 3 Months,90,4.06,113.68,1,Steady mid-tier
84,36,35-44,Male,Texas,Clothing,Dress,M,Turquoise,Summer,40,4.1,False,Yes,True,Standard,Yes,True,Bank Transfer,34,Established,Weekly,7,52.14,2085.6,0,High-value regulars
85,52,45-54,Male,Arizona,Outerwear,Coat,S,Peach,Spring,32,4.4,False,Yes,True,Standard,Yes,True,Bank Transfer,42,Loyal,Every 3 Months,90,4.06,129.92,1,Steady mid-tier
86,53,45-54,Male,New Mexico,Accessories,Sunglasses,M,Charcoal,Winter,95,4.5,False,Yes,True,Next Day Air,Yes,True,Debit Card,2,New,Bi-Weekly,14,26.07,2476.65,0,High-value regulars
87,24,18-24,Male,Nevada,Clothing,Hoodie,L,Pink,Spring,41,3.7,False,Yes,True,2-Day Shipping,Yes,True,Cash,47,Loyal,Bi-Weekly,14,26.07,1068.87,1,Steady mid-tier
88,52,45-54,Male,Ohio,Footwear,Shoes,M,Green,Fall,53,3.7,False,Yes,True,2-Day Shipping,Yes,True,Debit Card,44,Loyal,Fortnightly,14,26.07,1381.71,1,Steady mid-tier
89,33,25-34,Male,Wyoming,Clothing,T-shirt,M,Orange,Fall,47,3.5,False,Yes,True,Free Shipping,Yes,True,Credit Card,35,Established,Monthly,30,12.17,571.99,1,Steady mid-tier
90,47,45-54,Male,California,Outerwear,Jacket,XL,Pink,Fall,83,3.6,False,Yes,True,Next Day Air,Yes,True,Cash,15,Developing,Quarterly,90,4.06,336.98,1,Steady mid-tier
91,25,25-34,Male,South Carolina,Accessories,Hat,L,Violet,Summer,48,2.9,False,Yes,True,Express,Yes,True,Credit Card,29,Established,Monthly,30,12.17,584.16,1,Steady mid-tier
92,44,35-44,Male,South Carolina,Accessories,Scarf,S,Green,Winter,99,4.6,False,Yes,True,Standard,Yes,True,Credit Card,18,Developing,Every 3 Months,90,4.06,401.94,1,Steady mid-tier
93,61,55-64,Male,Texas,Outerwear,Jacket,M,Olive,Winter,87,4.4,False,Yes,True,2-Day Shipping,Yes,True,Venmo,13,Developing,Every 3 Months,90,4.06,353.22,1,Steady mid-tier
94,37,35-44,Male,Florida,Clothing,Sweater,M,Purple,Fall,62,4.5,False,Yes,True,Standard,Yes,True,Credit Card,46,Loyal,Weekly,7,52.14,3232.68,0,High-value regulars
95,58,55-64,Male,Nevada,Clothing,Skirt,S,Silver,Spring,76,4.6,False,Yes,True,Free Shipping,Yes,True,Credit Card,28,Established,Weekly,7,52.14,3962.64,0,High-value regulars
96,37,35-44,Male,Missouri,Footwear,Sneakers,L,Pink,Fall,100,3.8,False,Yes,True,Free Shipping,Yes,True,PayPal,48,Loyal,Monthly,30,12.17,1217.0,1,Steady mid-tier
97,32,25-34,Male,Delaware,Accessories,Gloves,S,Gold,Spring,73,3.8,True,Yes,True,Express,Yes,True,Venmo,43,Loyal,Every 3 Months,90,4.06,296.38,1,Steady mid-tier
98,21,18-24,Male,Virginia,Footwear,Shoes,M,Teal,Winter,92,4.8,False,Yes,True,Store Pickup,Yes,True,Cash,37,Established,Annually,365,1.0,92.0,1,Steady mid-tier
99,20,18-24,Male,New York,Clothing,Jeans,XL,Teal,Spring,67,2.6,False,Yes,True,Next Day Air,Yes,True,Bank Transfer,20,Developing,Annually,365,1.0,67.0,1,Steady mid-tier
100,26,25-34,Male,Missouri,Clothing,Hoodie,XL,Indigo,Summer,40,3.7,False,Yes,True,Express,Yes,True,Debit Card,33,Established,Quarterly,90,4.06,162.4,1,Steady mid-tier
101,62,55-64,Male,South Dakota,Accessories,Sunglasses,M,Maroon,Fall,98,2.7,False,Yes,True,Express,Yes,True,Cash,31,Established,Fortnightly,14,26.07,2554.86,0,High-value regulars
102,27,25-34,Male,North Dakota,Outerwear,Coat,XL,White,Spring,85,4.6,False,Yes,True,Express,Yes,True,Credit Card,50,Loyal,Bi-Weekly,14,26.07,2215.95,0,High-value regulars
103,51,45-54,Male,Oklahoma,Clothing,Socks,L,Violet,Winter,67,4.8,False,Yes,True,Next Day Air,Yes,True,Credit Card,35,Established,Quarterly,90,4.06,272.02,1,Steady mid-tier
104,54,45-54,Male,West Virginia,Footwear,Boots,L,Red,Winter,89,4.0,False,Yes,True,Next Day Air,Yes,True,Venmo,22,Developing,Bi-Weekly,14,26.07,2320.23,0,High-value regulars
105,55,55-64,Male,New Hampshire,Accessories,Sunglasses,L,Pink,Spring,24,4.4,False,Yes,True,2-Day Shipping,Yes,True,PayPal,1,New,Monthly,30,12.17,292.08,1,Steady mid-tier
106,69,65+,Male,New York,Accessories,Backpack,M,Charcoal,Fall,96,3.6,False,Yes,True,Next Day Air,Yes,True,Bank Transfer,4,New,Annually,365,1.0,96.0,1,Steady mid-tier
107,64,55-64,Male,Minnesota,Outerwear,Jacket,L,White,Summer,35,3.7,False,Yes,True,Standard,Yes,True,Credit Card,31,Established,Monthly,30,12.17,425.95,1,Steady mid-tier
108,28,25-34,Male,Maryland,Footwear,Sneakers,L,Olive,Winter,67,3.1,False,Yes,True,Next Day Air,Yes,True,PayPal,46,Loyal,Fortnightly,14,26.07,1746.69,0,High-value regulars
109,70,65+,Male,Montana,Clothing,Socks,L,Purple,Spring,79,3.4,False,Yes,True,Next Day Air,Yes,True,Bank Transfer,32,Established,Bi-Weekly,14,26.07,2059.53,0,High-value regulars
110,58,55-64,Male,Alabama,Clothing,T-shirt,M,Violet,Spring,85,2.6,False,Yes,True,Next Day Air,Yes,True,Bank Transfer,43,Loyal,Fortnightly,14,26.07,2215.95,0,High-value regulars
111,56,55-64,Male,New York,Accessories,Backpack,M,Black,Summer,26,4.0,False,Yes,True,Standard,Yes,True,Venmo,26,Established,Fortnightly,14,26.07,677.82,1,Steady mid-tier
112,26,25-34,Male,Massachusetts,Accessories,Belt,L,Purple,Summer,75,5.0,False,Yes,True,Free Shipping,Yes,True,Credit Card,9,New,Annually,365,1.0,75.0,1,Steady mid-tier
113,37,35-44,Male,Florida,Accessories,Gloves,M,Red,Spring,65,4.3,False,Yes,True,Free Shipping,Yes,True,PayPal,28,Established,Bi-Weekly,14,26.07,1694.55,0,High-value regulars
114,44,35-44,Male,New Jersey,Accessories,Hat,L,Maroon,Winter,54,3.1,False,Yes,True,Next Day Air,Yes,True,PayPal,20,Developing,Quarterly,90,4.06,219.24,1,Steady mid-tier
115,70,65+,Male,Massachusetts,Outerwear,Coat,S,Blue,Summer,95,3.7,False,Yes,True,Store Pickup,Yes,True,Cash,9,New,Weekly,7,52.14,4953.3,0,High-value regulars
116,53,45-54,Male,Wyoming,Clothing,Skirt,M,Gray,Spring,94,3.8,False,Yes,True,Standard,Yes,True,Debit Card,48,Loyal,Every 3 Months,90,4.06,381.64,1,Steady mid-tier
117,55,55-64,Male,Virginia,Footwear,Shoes,S,Blue,Spring,86,3.4,False,Yes,True,Free Shipping,Yes,True,Venmo,12,Developing,Annually,365,1.0,86.0,1,Steady mid-tier
118,50,45-54,Male,South Dakota,Footwear,Sandals,L,Yellow,Summer,32,4.6,False,Yes,True,Express,Yes,True,Cash,29,Established,Fortnightly,14,26.07,834.24,1,Steady mid-tier
119,50,45-54,Male,Kentucky,Clothing,Sweater,L,Orange,Fall,45,4.8,False,Yes,True,2-Day Shipping,Yes,True,Cash,27,Established,Bi-Weekly,14,26.07,1173.15,1,Steady mid-tier
120,38,35-44,Male,Wyoming,Outerwear,Coat,M,Orange,Fall,76,4.3,False,Yes,True,Express,Yes,True,Cash,44,Loyal,Annually,365,1.0,76.0,1,Steady mid-tier
121,64,55-64,Male,West Virginia,Accessories,Hat,L,Red,Summer,84,4.0,False,Yes,True,Express,Yes,True,Bank Transfer,32,Established,Annually,365,1.0,84.0,1,Steady mid-tier
122,19,18-24,Male,Virginia,Clothing,Shorts,M,Olive,Winter,72,4.2,False,Yes,True,Standard,Yes,True,Cash,11,Developing,Fortnightly,14,26.07,1877.04,0,High-value regulars
123,40,35-44,Male,Washington,Accessories,Backpack,L,Brown,Spring,40,4.8,False,Yes,True,2-Day Shipping,Yes,True,Cash,44,Loyal,Fortnightly,14,26.07,1042.8,1,Steady mid-tier
124,57,55-64,Male,Louisiana,Clothing,Sweater,L,Brown,Fall,89,3.1,False,Yes,True,Free Shipping,Yes,True,Cash,46,Loyal,Weekly,7,52.14,4640.46,0,High-value regulars
125,44,35-44,Male,Nevada,Clothing,Sweater,M,Gray,Spring,86,3.1,False,Yes,True,Next Day Air,Yes,True,PayPal,50,Loyal,Annually,365,1.0,86.0,1,Steady mid-tier
126,49,45-54,Male,California,Clothing,Shorts,M,Indigo,Winter,54,3.6,False,Yes,True,Next Day Air,Yes,True,Venmo,45,Loyal,Every 3 Months,90,4.06,219.24,1,Steady mid-tier
127,43,35-44,Male,Mississippi,Clothing,Shorts,L,Pink,Spring,36,3.9,False,Yes,True,Store Pickup,Yes,True,Cash,48,Loyal,Every 3 Months,90,4.06,146.16,1,Steady mid-tier
128,24,18-24,Male,Mississippi,Clothing,Sweater,M,Gray,Winter,89,4.8,False,Yes,True,Next Day Air,Yes,True,Credit Card,26,Established,Weekly,7,52.14,4640.46,0,High-value regulars
129,20,18-24,Male,California,Accessories,Scarf,M,Gold,Spring,32,4.7,False,Yes,True,Standard,Yes,True,Credit Card,21,Developing,Fortnightly,14,26.07,834.24,1,Steady mid-tier
130,24,18-24,Male,Pennsylvania,Clothing,Dress,XL,Olive,Summer,67,4.2,False,Yes,True,2-Day Shipping,Yes,True,PayPal,49,Loyal,Bi-Weekly,14,26.07,1746.69,0,High-value regulars
131,44,35-44,Male,Kentucky,Accessories,Scarf,L,Violet,Fall,39,3.7,False,Yes,True,Next Day Air,Yes,True,PayPal,13,Developing,Fortnightly,14,26.07,1016.73,1,Steady mid-tier
132,28,25-34,Male,Maine,Clothing,Skirt,L,Indigo,Summer,29,3.9,False,Yes,True,Standard,Yes,True,Credit Card,46,Loyal,Weekly,7,52.14,1512.06,0,High-value regulars
133,30,25-34,Male,New Mexico,Accessories,Backpack,M,Orange,Fall,58,4.7,False,Yes,True,2-Day Shipping,Yes,True,PayPal,42,Loyal,Weekly,7,52.14,3024.12,0,High-value regulars
134,52,45-54,Male,Montana,Clothing,Sweater,M,Violet,Winter,65,2.5,False,Yes,True,Next Day Air,Yes,True,Venmo,25,Developing,Annually,365,1.0,65.0,1,Steady mid-tier
135,43,35-44,Male,Texas,Accessories,Hat,L,Gray,Fall,94,4.9,False,Yes,True,Store Pickup,Yes,True,Cash,25,Developing,Monthly,30,12.17,1143.98,1,Steady mid-tier
136,43,35-44,Male,Kansas,Footwear,Sandals,M,Purple,Fall,81,4.1,False,Yes,True,Express,Yes,True,PayPal,12,Developing,Quarterly,90,4.06,328.86,1,Steady mid-tier
